channel,X,Y,Z,shaft
1,0,0,1025,1
2,0,0,925,1
3,0,0,825,1
4,0,0,725,1
5,0,0,625,1
6,0,0,525,1
7,0,0,425,1
8,0,0,325,1
9,0,0,225,1
10,0,0,125,1
11,0,0,25,1
12,-16,0,50,1
13,-20,0,100,1
14,-20,0,150,1
15,-20,0,200,1
16,-20,0,250,1
17,-20,0,1050,1
18,-20,0,1000,1
19,-20,0,950,1
20,-20,0,900,1
21,-20,0,850,1
22,-20,0,800,1
23,-20,0,750,1
24,-20,0,700,1
25,-20,0,650,1
26,-20,0,600,1
27,-20,0,550,1
28,-20,0,500,1
29,-20,0,450,1
30,-20,0,400,1
31,-20,0,350,1
32,-20,0,300,1
33,20,0,350,1
34,20,0,400,1
35,20,0,450,1
36,20,0,500,1
37,20,0,550,1
38,20,0,600,1
39,20,0,650,1
40,20,0,700,1
41,20,0,750,1
42,20,0,800,1
43,20,0,850,1
44,20,0,900,1
45,20,0,950,1
46,20,0,1000,1
47,20,0,1050,1
48,20,0,300,1
49,20,0,250,1
50,20,0,200,1
51,20,0,150,1
52,20,0,100,1
53,16,0,50,1
54,0,0,0,1
55,0,0,75,1
56,0,0,175,1
57,0,0,275,1
58,0,0,375,1
59,0,0,475,1
60,0,0,575,1
61,0,0,675,1
62,0,0,775,1
63,0,0,875,1
64,0,0,975,1
65,300,0,1025,2
66,300,0,925,2
67,300,0,825,2
68,300,0,725,2
69,300,0,625,2
70,300,0,525,2
71,300,0,425,2
72,300,0,325,2
73,300,0,225,2
74,300,0,125,2
75,300,0,25,2
76,284,0,50,2
77,280,0,100,2
78,280,0,150,2
79,280,0,200,2
80,280,0,250,2
81,280,0,1050,2
82,280,0,1000,2
83,280,0,950,2
84,280,0,900,2
85,280,0,850,2
86,280,0,800,2
87,280,0,750,2
88,280,0,700,2
89,280,0,650,2
90,280,0,600,2
91,280,0,550,2
92,280,0,500,2
93,280,0,450,2
94,280,0,400,2
95,280,0,350,2
96,280,0,300,2
97,320,0,350,2
98,320,0,400,2
99,320,0,450,2
100,320,0,500,2
101,320,0,550,2
102,320,0,600,2
103,320,0,650,2
104,320,0,700,2
105,320,0,750,2
106,320,0,800,2
107,320,0,850,2
108,320,0,900,2
109,320,0,950,2
110,320,0,1000,2
111,320,0,1050,2
112,320,0,300,2
113,320,0,250,2
114,320,0,200,2
115,320,0,150,2
116,320,0,100,2
117,316,0,50,2
118,300,0,0,2
119,300,0,75,2
120,300,0,175,2
121,300,0,275,2
122,300,0,375,2
123,300,0,475,2
124,300,0,575,2
125,300,0,675,2
126,300,0,775,2
127,300,0,875,2
128,300,0,975,2
